,AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
39,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-08-13,4.1014299392700195,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
40,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-08-18,1.3312549591064453,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
41,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-08-23,6.254764080047607,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
42,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-08-28,4.842242240905762,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
43,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-09-02,6.366885185241699,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
44,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-09-07,3.9938478469848633,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
45,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-09-12,1.245680809020996,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
46,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-09-17,2.7790558338165283,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
47,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-09-27,6.854718208312988,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
48,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-10-02,5.8883209228515625,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
49,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-10-07,4.680750846862793,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
50,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-10-12,6.708161354064941,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
51,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-10-22,3.435452461242676,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
52,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-11-06,2.644157886505127,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
53,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-11-16,5.930332183837891,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
54,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-12-01,6.404427528381348,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
55,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-12-06,2.639390468597412,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
56,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-12-11,5.451821804046631,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
57,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-12-31,12.084526062011719,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
58,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-01-05,4.852917671203613,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
59,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-01-10,11.280366897583008,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
60,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-01-15,1.0811744928359985,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
61,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-02-04,3.053279399871826,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
62,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-02-14,4.66881799697876,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
63,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-02-19,4.991082668304443,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
64,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-02-24,4.992885112762451,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
65,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-03-10,6.201024055480957,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
66,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-03-25,4.708508491516113,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
67,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-04-19,4.97218132019043,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
